,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,894.0
1,2020-12-26,0.0,2177.0
2,2021-01-02,0.0,3432.0
3,2021-01-09,880.0,7814.0
4,2021-01-16,2144.0,14355.0
5,2021-01-23,3396.0,22443.0
6,2021-01-30,8503.0,23938.0
7,2021-02-06,13643.0,19998.0
8,2021-02-13,20406.0,14442.0
9,2021-02-20,25197.0,11082.0
10,2021-02-27,28976.0,17675.0
11,2021-03-06,30362.0,29038.0
12,2021-03-13,33131.0,39151.0
13,2021-03-20,43408.0,47170.0
14,2021-03-27,54940.0,62870.0
15,2021-04-03,61511.0,86315.0
16,2021-04-10,68515.0,147407.0
17,2021-04-17,69767.0,197933.0
18,2021-04-24,71415.0,278119.0
19,2021-05-01,73209.0,339058.0
20,2021-05-08,75761.0,397891.0
21,2021-05-15,80883.0,479650.0
22,2021-05-22,86795.0,556554.0
23,2021-05-29,105636.0,623026.0
24,2021-06-05,146346.0,639752.0
25,2021-06-12,200869.0,624304.0
26,2021-06-19,285105.0,564359.0
27,2021-06-26,435269.0,434761.0
28,2021-07-03,583472.0,310956.0
29,2021-07-10,676457.0,237861.0
30,2021-07-17,734336.0,195231.0
31,2021-07-24,785865.0,157256.0
32,2021-07-31,849694.0,109205.0
33,2021-08-07,868593.0,97210.0
34,2021-08-14,886001.0,85604.0
35,2021-08-21,899858.0,77028.0
36,2021-08-28,914349.0,69586.0
37,2021-09-04,929823.0,66072.0
38,2021-09-11,940002.0,64842.0
