,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,0.0
1,2020-12-26,0.0,0.0
2,2021-01-02,0.0,122.0
3,2021-01-09,0.0,511.0
4,2021-01-16,0.0,1891.0
5,2021-01-23,0.0,9471.0
6,2021-01-30,118.0,12115.0
7,2021-02-06,299.0,12531.0
8,2021-02-13,579.0,12996.0
9,2021-02-20,1934.0,12583.0
10,2021-02-27,4558.0,10656.0
11,2021-03-06,11149.0,5904.0
12,2021-03-13,12387.0,7293.0
13,2021-03-20,13281.0,8826.0
14,2021-03-27,13931.0,9784.0
15,2021-04-03,14469.0,9628.0
16,2021-04-10,16469.0,8271.0
17,2021-04-17,19269.0,6100.0
18,2021-04-24,20941.0,4910.0
19,2021-05-01,21672.0,4655.0
20,2021-05-08,22499.0,4804.0
21,2021-05-15,22956.0,5397.0
22,2021-05-22,23336.0,5547.0
23,2021-05-29,23905.0,5657.0
24,2021-06-05,21352.0,4295.0
25,2021-06-12,22537.0,3530.0
26,2021-06-19,23279.0,3251.0
27,2021-06-26,23757.0,3122.0
28,2021-07-03,24190.0,2948.0
29,2021-07-10,24603.0,2761.0
30,2021-07-17,25073.0,2536.0
31,2021-07-24,25515.0,2288.0
32,2021-07-31,25886.0,2087.0
33,2021-08-07,26167.0,1979.0
34,2021-08-14,26572.0,1801.0
35,2021-08-21,26877.0,1911.0
36,2021-08-28,27186.0,1980.0
37,2021-09-04,27365.0,2025.0
38,2021-09-11,27612.0,2053.0
