,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,1042.0
1,2020-12-26,0.0,1769.0
2,2021-01-02,0.0,3540.0
3,2021-01-09,953.0,4563.0
4,2021-01-16,1732.0,12551.0
5,2021-01-23,2458.0,21205.0
6,2021-01-30,3072.0,24143.0
7,2021-02-06,5394.0,24353.0
8,2021-02-13,9545.0,23322.0
9,2021-02-20,15960.0,21804.0
10,2021-02-27,23456.0,22829.0
11,2021-03-06,27372.0,29121.0
12,2021-03-13,28356.0,41272.0
13,2021-03-20,30595.0,70505.0
14,2021-03-27,36292.0,98267.0
15,2021-04-03,39158.0,143258.0
16,2021-04-10,41492.0,208047.0
17,2021-04-17,42878.0,266491.0
18,2021-04-24,43551.0,316451.0
19,2021-05-01,44514.0,362269.0
20,2021-05-08,46380.0,435342.0
21,2021-05-15,48757.0,505443.0
22,2021-05-22,58130.0,546507.0
23,2021-05-29,83160.0,559140.0
24,2021-06-05,137017.0,523902.0
25,2021-06-12,210148.0,470596.0
26,2021-06-19,287032.0,410866.0
27,2021-06-26,402634.0,307170.0
28,2021-07-03,489780.0,229308.0
29,2021-07-10,557834.0,170974.0
30,2021-07-17,595765.0,140434.0
31,2021-07-24,625595.0,117710.0
32,2021-07-31,647935.0,101278.0
33,2021-08-07,660190.0,93096.0
34,2021-08-14,669963.0,87379.0
35,2021-08-21,678982.0,83460.0
36,2021-08-28,687214.0,81161.0
37,2021-09-04,695204.0,79617.0
38,2021-09-11,701956.0,78516.0
