,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,3634.0
1,2020-12-26,0.0,12447.0
2,2021-01-02,0.0,24670.0
3,2021-01-09,35.0,60180.0
4,2021-01-16,47.0,89668.0
5,2021-01-23,3360.0,114792.0
6,2021-01-30,4592.0,130911.0
7,2021-02-06,12128.0,130874.0
8,2021-02-13,22634.0,126556.0
9,2021-02-20,55218.0,109031.0
10,2021-02-27,84022.0,108741.0
11,2021-03-06,87059.0,160497.0
12,2021-03-13,87180.0,236009.0
13,2021-03-20,87280.0,366204.0
14,2021-03-27,87439.0,526532.0
15,2021-04-03,87607.0,719978.0
16,2021-04-10,87819.0,934567.0
17,2021-04-17,88238.0,1201323.0
18,2021-04-24,89169.0,1454116.0
19,2021-05-01,91895.0,1690009.0
20,2021-05-08,106276.0,1942276.0
21,2021-05-15,130430.0,2262971.0
22,2021-05-22,147620.0,2592156.0
23,2021-05-29,180584.0,2883243.0
24,2021-06-05,315661.0,2991745.0
25,2021-06-12,613871.0,2805751.0
26,2021-06-19,898537.0,2577295.0
27,2021-06-26,1319651.0,2230265.0
28,2021-07-03,1672835.0,1930844.0
29,2021-07-10,2070975.0,1579638.0
30,2021-07-17,2441919.0,1247164.0
31,2021-07-24,2835304.0,888507.0
32,2021-07-31,3095931.0,661552.0
33,2021-08-07,3249353.0,538479.0
34,2021-08-14,3383552.0,432363.0
35,2021-08-21,3463367.0,378245.0
36,2021-08-28,3531323.0,357606.0
37,2021-09-04,3581541.0,343816.0
38,2021-09-11,3621544.0,340260.0
