,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,4728.0
1,2020-12-26,0.0,17216.0
2,2021-01-02,0.0,28305.0
3,2021-01-09,0.0,83278.0
4,2021-01-16,0.0,145783.0
5,2021-01-23,0.0,218827.0
6,2021-01-30,0.0,239485.0
7,2021-02-06,0.0,257501.0
8,2021-02-13,0.0,293734.0
9,2021-02-20,0.0,345979.0
10,2021-02-27,0.0,431743.0
11,2021-03-06,0.0,548031.0
12,2021-03-13,0.0,714029.0
13,2021-03-20,0.0,945382.0
14,2021-03-27,0.0,1218798.0
15,2021-04-03,0.0,1524363.0
16,2021-04-10,15817.0,1857562.0
17,2021-04-17,30233.0,2295027.0
18,2021-04-24,51730.0,2721477.0
19,2021-05-01,104371.0,3005084.0
20,2021-05-08,174917.0,3363699.0
21,2021-05-15,354465.0,3718773.0
22,2021-05-22,446951.0,4155234.0
23,2021-05-29,558172.0,4518964.0
24,2021-06-05,713542.0,4815864.0
25,2021-06-12,1060064.0,4749659.0
26,2021-06-19,1563676.0,4378224.0
27,2021-06-26,2160492.0,3835569.0
28,2021-07-03,2802878.0,3244562.0
29,2021-07-10,3460944.0,2634767.0
30,2021-07-17,4033393.0,2114204.0
31,2021-07-24,4595584.0,1603526.0
32,2021-07-31,5016232.0,1223575.0
33,2021-08-07,5304516.0,980304.0
34,2021-08-14,5553171.0,790256.0
35,2021-08-21,5790107.0,610794.0
36,2021-08-28,5961147.0,498104.0
37,2021-09-04,6093091.0,429779.0
38,2021-09-11,6193860.0,381710.0
