,week_end,sumTotFul,sumTotPartially
0,2020-12-26,0.0,1146.0
1,2021-01-02,0.0,1669.0
2,2021-01-09,0.0,2475.0
3,2021-01-16,1387.0,2906.0
4,2021-01-23,1884.0,3327.0
5,2021-01-30,2565.0,2714.0
6,2021-02-06,3513.0,1789.0
7,2021-02-13,4893.0,797.0
8,2021-02-20,5156.0,1294.0
9,2021-02-27,5212.0,2151.0
10,2021-03-06,5507.0,3159.0
11,2021-03-13,5596.0,4790.0
12,2021-03-20,5615.0,7380.0
13,2021-03-27,6399.0,8890.0
14,2021-04-03,7607.0,12203.0
15,2021-04-10,8756.0,17549.0
16,2021-04-17,9567.0,23801.0
17,2021-04-24,10279.0,29251.0
18,2021-05-01,10638.0,34745.0
19,2021-05-08,10936.0,41662.0
20,2021-05-15,11754.0,50371.0
21,2021-05-22,12299.0,59028.0
22,2021-05-29,13430.0,66370.0
23,2021-06-05,14397.0,75322.0
24,2021-06-12,17283.0,81960.0
25,2021-06-19,20041.0,88845.0
26,2021-06-26,28326.0,85997.0
27,2021-07-03,37006.0,80140.0
28,2021-07-10,48255.0,71364.0
29,2021-07-17,58635.0,63125.0
30,2021-07-24,69574.0,53500.0
31,2021-07-31,80166.0,44208.0
32,2021-08-07,90716.0,34786.0
33,2021-08-14,100588.0,25794.0
34,2021-08-21,108906.0,18345.0
35,2021-08-28,113163.0,14894.0
36,2021-09-04,115724.0,13079.0
37,2021-09-11,117661.0,11794.0
