,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,1092.0
1,2020-12-26,0.0,2218.0
2,2021-01-02,0.0,2720.0
3,2021-01-09,1076.0,1679.0
4,2021-01-16,2207.0,3533.0
5,2021-01-23,2708.0,5580.0
6,2021-01-30,2729.0,9361.0
7,2021-02-06,5133.0,7716.0
8,2021-02-13,8039.0,6688.0
9,2021-02-20,8225.0,6690.0
10,2021-02-27,12618.0,7116.0
11,2021-03-06,14433.0,10578.0
12,2021-03-13,16113.0,15851.0
13,2021-03-20,20100.0,20720.0
14,2021-03-27,24294.0,40387.0
15,2021-04-03,29531.0,54265.0
16,2021-04-10,31119.0,85699.0
17,2021-04-17,32482.0,141404.0
18,2021-04-24,34815.0,203751.0
19,2021-05-01,36599.0,247213.0
20,2021-05-08,37699.0,288440.0
21,2021-05-15,39205.0,349306.0
22,2021-05-22,41453.0,419495.0
23,2021-05-29,43461.0,494407.0
24,2021-06-05,44544.0,546361.0
25,2021-06-12,50863.0,593805.0
26,2021-06-19,82726.0,604630.0
27,2021-06-26,168241.0,530068.0
28,2021-07-03,276930.0,426125.0
29,2021-07-10,393450.0,317857.0
30,2021-07-17,485212.0,239735.0
31,2021-07-24,556502.0,172169.0
32,2021-07-31,617379.0,119095.0
33,2021-08-07,649491.0,94606.0
34,2021-08-14,661688.0,85963.0
35,2021-08-21,673955.0,76149.0
36,2021-08-28,687598.0,67797.0
37,2021-09-04,695171.0,63603.0
38,2021-09-11,704444.0,59646.0
