,week_end,sumTotFul,sumTotPartially
0,2020-12-26,0.0,4792.0
1,2021-01-02,0.0,13383.0
2,2021-01-09,724.0,43574.0
3,2021-01-16,4075.0,77784.0
4,2021-01-23,9469.0,80088.0
5,2021-01-30,15994.0,74244.0
6,2021-02-06,21679.0,68989.0
7,2021-02-13,50682.0,44314.0
8,2021-02-20,66188.0,37048.0
9,2021-02-27,87407.0,52554.0
10,2021-03-06,90618.0,111622.0
11,2021-03-13,91537.0,196484.0
12,2021-03-20,93025.0,295430.0
13,2021-03-27,96131.0,408276.0
14,2021-04-03,111986.0,488608.0
15,2021-04-10,164356.0,563935.0
16,2021-04-17,232325.0,700554.0
17,2021-04-24,270640.0,856730.0
18,2021-05-01,293722.0,1011710.0
19,2021-05-08,309929.0,1246471.0
20,2021-05-15,320274.0,1529798.0
21,2021-05-22,320916.0,1533466.0
22,2021-05-29,379920.0,1977913.0
23,2021-06-05,519870.0,1991366.0
24,2021-06-12,753168.0,1836304.0
25,2021-06-19,1075053.0,1563338.0
26,2021-06-26,1292072.0,1371422.0
27,2021-07-03,1776325.0,941532.0
28,2021-07-10,1984720.0,763338.0
29,2021-07-17,2244169.0,567724.0
30,2021-07-24,2385526.0,450323.0
31,2021-07-31,2469872.0,387596.0
32,2021-08-07,2516133.0,357953.0
33,2021-08-14,2553209.0,337345.0
34,2021-08-21,2586927.0,321625.0
35,2021-08-28,2621121.0,309690.0
36,2021-09-04,2654121.0,302926.0
37,2021-09-11,2676327.0,303559.0
