,week_end,sumTotFul,sumTotPartially
0,2021-01-16,10857.0,178383.0
1,2021-01-23,31441.0,217691.0
2,2021-01-30,68849.0,201946.0
3,2021-02-06,101744.0,175696.0
4,2021-02-13,174643.0,118340.0
5,2021-02-20,235053.0,84862.0
6,2021-02-27,261923.0,163239.0
7,2021-03-06,271832.0,347483.0
8,2021-03-13,285667.0,589270.0
9,2021-03-20,298415.0,927042.0
10,2021-03-27,309157.0,1363194.0
11,2021-04-03,321818.0,1849755.0
12,2021-04-10,332966.0,2475356.0
13,2021-04-17,345786.0,3148080.0
14,2021-04-24,360337.0,3908475.0
15,2021-05-01,375308.0,4576638.0
16,2021-05-08,392994.0,5361156.0
17,2021-05-15,429868.0,6208493.0
18,2021-05-22,532103.0,7005191.0
19,2021-05-29,689636.0,7609233.0
20,2021-06-05,1033695.0,7929387.0
21,2021-06-12,1799775.0,7613665.0
22,2021-06-19,2877663.0,6800058.0
23,2021-06-26,4169080.0,5695604.0
24,2021-07-03,5556575.0,4450276.0
25,2021-07-10,6859065.0,3283639.0
26,2021-07-17,7847927.0,2421176.0
27,2021-07-24,8572101.0,1811180.0
28,2021-07-31,9037576.0,1447489.0
29,2021-08-07,9320603.0,1232979.0
30,2021-08-14,9565127.0,1059550.0
31,2021-08-21,9756368.0,956187.0
32,2021-08-28,9913501.0,883832.0
33,2021-09-04,10032786.0,854139.0
34,2021-09-11,10172209.0,825753.0
